layer,head,baseline_acc,ablated_acc,drop,load_bearing
0,0,0.84,0.81,0.029999999999999916,True
0,1,0.84,0.86,-0.020000000000000018,False
0,2,0.84,0.82,0.020000000000000018,True
0,3,0.84,0.84,0.0,False
0,4,0.84,0.82,0.020000000000000018,True
0,5,0.84,0.83,0.010000000000000009,False
0,6,0.84,0.83,0.010000000000000009,False
0,7,0.84,0.78,0.05999999999999994,True
0,8,0.84,0.83,0.010000000000000009,False
0,9,0.84,0.85,-0.010000000000000009,False
0,10,0.84,0.83,0.010000000000000009,False
0,11,0.84,0.83,0.010000000000000009,False
0,12,0.84,0.83,0.010000000000000009,False
0,13,0.84,0.85,-0.010000000000000009,False
0,14,0.84,0.82,0.020000000000000018,True
0,15,0.84,0.92,-0.08000000000000007,False
0,16,0.84,0.86,-0.020000000000000018,False
0,17,0.84,0.8,0.039999999999999925,True
0,18,0.84,0.84,0.0,False
0,19,0.84,0.82,0.020000000000000018,True
0,20,0.84,0.83,0.010000000000000009,False
0,21,0.84,0.8,0.039999999999999925,True
0,22,0.84,0.82,0.020000000000000018,True
0,23,0.84,0.81,0.029999999999999916,True
7,0,0.99,0.99,0.0,False
7,1,0.99,0.99,0.0,False
7,2,0.99,0.99,0.0,False
7,3,0.99,0.99,0.0,False
7,4,0.99,0.99,0.0,False
7,5,0.99,0.99,0.0,False
7,6,0.99,0.99,0.0,False
7,7,0.99,0.99,0.0,False
7,8,0.99,0.99,0.0,False
7,9,0.99,0.99,0.0,False
7,10,0.99,0.99,0.0,False
7,11,0.99,0.99,0.0,False
7,12,0.99,0.99,0.0,False
7,13,0.99,0.99,0.0,False
7,14,0.99,0.99,0.0,False
7,15,0.99,0.99,0.0,False
7,16,0.99,0.99,0.0,False
7,17,0.99,0.99,0.0,False
7,18,0.99,0.99,0.0,False
7,19,0.99,0.99,0.0,False
7,20,0.99,0.99,0.0,False
7,21,0.99,0.99,0.0,False
7,22,0.99,0.99,0.0,False
7,23,0.99,0.99,0.0,False
14,0,0.98,0.97,0.010000000000000009,False
14,1,0.98,0.98,0.0,False
14,2,0.98,0.98,0.0,False
14,3,0.98,0.98,0.0,False
14,4,0.98,0.97,0.010000000000000009,False
14,5,0.98,0.98,0.0,False
14,6,0.98,0.98,0.0,False
14,7,0.98,0.98,0.0,False
14,8,0.98,0.98,0.0,False
14,9,0.98,0.98,0.0,False
14,10,0.98,0.98,0.0,False
14,11,0.98,0.98,0.0,False
14,12,0.98,0.98,0.0,False
14,13,0.98,0.98,0.0,False
14,14,0.98,0.98,0.0,False
14,15,0.98,0.98,0.0,False
14,16,0.98,0.97,0.010000000000000009,False
14,17,0.98,0.98,0.0,False
14,18,0.98,0.98,0.0,False
14,19,0.98,0.97,0.010000000000000009,False
14,20,0.98,0.97,0.010000000000000009,False
14,21,0.98,0.98,0.0,False
14,22,0.98,0.98,0.0,False
14,23,0.98,0.98,0.0,False
15,0,0.97,0.97,0.0,False
15,1,0.97,0.97,0.0,False
15,2,0.97,0.97,0.0,False
15,3,0.97,0.97,0.0,False
15,4,0.97,0.97,0.0,False
15,5,0.97,0.97,0.0,False
15,6,0.97,0.97,0.0,False
15,7,0.97,0.97,0.0,False
15,8,0.97,0.97,0.0,False
15,9,0.97,0.97,0.0,False
15,10,0.97,0.97,0.0,False
15,11,0.97,0.97,0.0,False
15,12,0.97,0.97,0.0,False
15,13,0.97,0.97,0.0,False
15,14,0.97,0.97,0.0,False
15,15,0.97,0.97,0.0,False
15,16,0.97,0.97,0.0,False
15,17,0.97,0.97,0.0,False
15,18,0.97,0.97,0.0,False
15,19,0.97,0.97,0.0,False
15,20,0.97,0.97,0.0,False
15,21,0.97,0.97,0.0,False
15,22,0.97,0.97,0.0,False
15,23,0.97,0.97,0.0,False
18,0,0.99,0.99,0.0,False
18,1,0.99,0.99,0.0,False
18,2,0.99,0.99,0.0,False
18,3,0.99,0.99,0.0,False
18,4,0.99,0.99,0.0,False
18,5,0.99,0.99,0.0,False
18,6,0.99,0.99,0.0,False
18,7,0.99,0.99,0.0,False
18,8,0.99,0.99,0.0,False
18,9,0.99,0.99,0.0,False
18,10,0.99,0.99,0.0,False
18,11,0.99,0.99,0.0,False
18,12,0.99,0.98,0.010000000000000009,False
18,13,0.99,0.99,0.0,False
18,14,0.99,0.99,0.0,False
18,15,0.99,0.99,0.0,False
18,16,0.99,0.99,0.0,False
18,17,0.99,0.99,0.0,False
18,18,0.99,0.99,0.0,False
18,19,0.99,0.99,0.0,False
18,20,0.99,0.99,0.0,False
18,21,0.99,0.99,0.0,False
18,22,0.99,0.99,0.0,False
18,23,0.99,0.99,0.0,False
26,0,0.98,0.98,0.0,False
26,1,0.98,0.98,0.0,False
26,2,0.98,0.98,0.0,False
26,3,0.98,0.98,0.0,False
26,4,0.98,0.98,0.0,False
26,5,0.98,0.98,0.0,False
26,6,0.98,0.98,0.0,False
26,7,0.98,0.98,0.0,False
26,8,0.98,0.98,0.0,False
26,9,0.98,0.98,0.0,False
26,10,0.98,0.98,0.0,False
26,11,0.98,0.98,0.0,False
26,12,0.98,0.98,0.0,False
26,13,0.98,0.98,0.0,False
26,14,0.98,0.98,0.0,False
26,15,0.98,0.98,0.0,False
26,16,0.98,0.98,0.0,False
26,17,0.98,0.98,0.0,False
26,18,0.98,0.98,0.0,False
26,19,0.98,0.98,0.0,False
26,20,0.98,0.98,0.0,False
26,21,0.98,0.98,0.0,False
26,22,0.98,0.98,0.0,False
26,23,0.98,0.98,0.0,False
